"country_of_residence","cor_iso3","country_of_origin","election_date","election_type","registered_voters","total_votes","valid_votes","null_votes","blanco_votes","votes_party_1","party_party_1","votes_party_2","party_party_2","votes_party_3","party_party_3","votes_party_4","party_party_4","votes_party_5","party_party_5","votes_party_6","party_party_6","votes_party_7","party_party_7","votes_party_8","party_party_8","votes_party_9","party_party_9","votes_party_10","party_party_10","votes_party_11","party_party_11","votes_party_12","party_party_12","votes_party_13","party_party_13","votes_party_14","party_party_14","votes_party_15","party_party_15","votes_party_16","party_party_16","votes_party_17","party_party_17","votes_party_18","party_party_18","votes_party_19","party_party_19","votes_party_20","party_party_20","votes_party_21","party_party_21","votes_party_22","party_party_22","votes_party_23","party_party_23","votes_party_24","party_party_24","votes_party_25","party_party_25","national_winner","votes_national_winner","invalid_votes"
"Germany","DEU","Czechia",2017-10-20,"Legislative",1298,1105,1101,NA,NA,294,"TOP 09",230,"Ceska piratska strana",110,"Strana zelenych",109,"Obcanska demokraticka strana",96,"Krest.demokr.unie-Cs.str.lid.",87,"STAROSTOVE A NEZAVISLI",58,"ANO 2011",49,"Svob.a pr.dem.-T.Okamura (SPD)",32,"Ceska str.socialne demokrat.",13,"Komunisticka str.Cech a Moravy",10,"Strana svobodnych obcanu",7,"REALISTE",2,"Strana Prav Obcanu",2,"CESTA ODPOVEDNE SPOLECNOSTI",1,"ROZUMNI-stop migraci,diktat.EU",1,"Unie H.A.V.E.L.",0,"Ceska strana narodne socialni",0,"Radostne Cesko",0,"Rad naroda - Vlastenecka unie",0,"Obcanska demokraticka aliance",0,"SPR-Republ.str.Csl. M.Sladka",0,"SPORTOVCI",0,"Referendum o Evropske unii",0,"Blok proti islam.-Obran.domova",0,"Dobra volba 2016","ANO 2011",58,NA
"Ghana","GHA","Czechia",2017-10-20,"Legislative",9,9,9,NA,NA,3,"Ceska piratska strana",1,"Ceska str.socialne demokrat.",1,"STAROSTOVE A NEZAVISLI",1,"Komunisticka str.Cech a Moravy",1,"TOP 09",1,"Krest.demokr.unie-Cs.str.lid.",1,"REALISTE",0,"Obcanska demokraticka strana",0,"Strana zelenych",0,"ROZUMNI-stop migraci,diktat.EU",0,"Strana svobodnych obcanu",0,"ANO 2011",0,"Svob.a pr.dem.-T.Okamura (SPD)",0,"Ceska strana narodne socialni",0,"Radostne Cesko",0,"Strana Prav Obcanu",0,"Rad naroda - Vlastenecka unie",0,"Obcanska demokraticka aliance",0,"SPR-Republ.str.Csl. M.Sladka",0,"SPORTOVCI",0,"Referendum o Evropske unii",0,"CESTA ODPOVEDNE SPOLECNOSTI",0,"Blok proti islam.-Obran.domova",0,"Unie H.A.V.E.L.",0,"Dobra volba 2016","ANO 2011",0,NA
"Greece","GRC","Czechia",2017-10-20,"Legislative",89,82,82,NA,NA,22,"Ceska piratska strana",13,"TOP 09",11,"Obcanska demokraticka strana",8,"ANO 2011",8,"Krest.demokr.unie-Cs.str.lid.",5,"Ceska str.socialne demokrat.",5,"STAROSTOVE A NEZAVISLI",4,"Svob.a pr.dem.-T.Okamura (SPD)",3,"Strana svobodnych obcanu",2,"Strana zelenych",1,"REALISTE",0,"Komunisticka str.Cech a Moravy",0,"ROZUMNI-stop migraci,diktat.EU",0,"Ceska strana narodne socialni",0,"Radostne Cesko",0,"Strana Prav Obcanu",0,"Rad naroda - Vlastenecka unie",0,"Obcanska demokraticka aliance",0,"SPR-Republ.str.Csl. M.Sladka",0,"SPORTOVCI",0,"Referendum o Evropske unii",0,"CESTA ODPOVEDNE SPOLECNOSTI",0,"Blok proti islam.-Obran.domova",0,"Unie H.A.V.E.L.",0,"Dobra volba 2016","ANO 2011",8,NA
"Hungary","HUN","Czechia",2017-10-20,"Legislative",243,224,224,NA,NA,53,"Obcanska demokraticka strana",53,"Ceska piratska strana",45,"TOP 09",16,"STAROSTOVE A NEZAVISLI",12,"ANO 2011",12,"Krest.demokr.unie-Cs.str.lid.",10,"Ceska str.socialne demokrat.",6,"REALISTE",6,"Svob.a pr.dem.-T.Okamura (SPD)",4,"Strana zelenych",4,"Strana svobodnych obcanu",1,"Komunisticka str.Cech a Moravy",1,"ROZUMNI-stop migraci,diktat.EU",1,"Blok proti islam.-Obran.domova",0,"Ceska strana narodne socialni",0,"Radostne Cesko",0,"Strana Prav Obcanu",0,"Rad naroda - Vlastenecka unie",0,"Obcanska demokraticka aliance",0,"SPR-Republ.str.Csl. M.Sladka",0,"SPORTOVCI",0,"Referendum o Evropske unii",0,"CESTA ODPOVEDNE SPOLECNOSTI",0,"Unie H.A.V.E.L.",0,"Dobra volba 2016","ANO 2011",12,NA
"India","IND","Czechia",2017-10-20,"Legislative",40,20,20,NA,NA,5,"Ceska piratska strana",3,"ANO 2011",3,"Svob.a pr.dem.-T.Okamura (SPD)",2,"Obcanska demokraticka strana",2,"STAROSTOVE A NEZAVISLI",2,"Strana zelenych",1,"Ceska str.socialne demokrat.",1,"TOP 09",1,"Krest.demokr.unie-Cs.str.lid.",0,"Komunisticka str.Cech a Moravy",0,"ROZUMNI-stop migraci,diktat.EU",0,"Strana svobodnych obcanu",0,"REALISTE",0,"Ceska strana narodne socialni",0,"Radostne Cesko",0,"Strana Prav Obcanu",0,"Rad naroda - Vlastenecka unie",0,"Obcanska demokraticka aliance",0,"SPR-Republ.str.Csl. M.Sladka",0,"SPORTOVCI",0,"Referendum o Evropske unii",0,"CESTA ODPOVEDNE SPOLECNOSTI",0,"Blok proti islam.-Obran.domova",0,"Unie H.A.V.E.L.",0,"Dobra volba 2016","ANO 2011",3,NA
"Indonesia","IDN","Czechia",2017-10-20,"Legislative",63,30,30,NA,NA,10,"TOP 09",9,"Ceska piratska strana",5,"Ceska str.socialne demokrat.",4,"Obcanska demokraticka strana",1,"STAROSTOVE A NEZAVISLI",1,"ANO 2011",0,"Komunisticka str.Cech a Moravy",0,"Strana zelenych",0,"ROZUMNI-stop migraci,diktat.EU",0,"Strana svobodnych obcanu",0,"Krest.demokr.unie-Cs.str.lid.",0,"REALISTE",0,"Svob.a pr.dem.-T.Okamura (SPD)",0,"Ceska strana narodne socialni",0,"Radostne Cesko",0,"Strana Prav Obcanu",0,"Rad naroda - Vlastenecka unie",0,"Obcanska demokraticka aliance",0,"SPR-Republ.str.Csl. M.Sladka",0,"SPORTOVCI",0,"Referendum o Evropske unii",0,"CESTA ODPOVEDNE SPOLECNOSTI",0,"Blok proti islam.-Obran.domova",0,"Unie H.A.V.E.L.",0,"Dobra volba 2016","ANO 2011",1,NA
"Iran","IRN","Czechia",2017-10-20,"Legislative",34,32,32,NA,NA,11,"Ceska piratska strana",5,"TOP 09",4,"STAROSTOVE A NEZAVISLI",3,"Strana zelenych",2,"Krest.demokr.unie-Cs.str.lid.",2,"Svob.a pr.dem.-T.Okamura (SPD)",2,"SPR-Republ.str.Csl. M.Sladka",1,"Obcanska demokraticka strana",1,"Ceska str.socialne demokrat.",1,"ANO 2011",0,"Komunisticka str.Cech a Moravy",0,"ROZUMNI-stop migraci,diktat.EU",0,"Strana svobodnych obcanu",0,"REALISTE",0,"Ceska strana narodne socialni",0,"Radostne Cesko",0,"Strana Prav Obcanu",0,"Rad naroda - Vlastenecka unie",0,"Obcanska demokraticka aliance",0,"SPORTOVCI",0,"Referendum o Evropske unii",0,"CESTA ODPOVEDNE SPOLECNOSTI",0,"Blok proti islam.-Obran.domova",0,"Unie H.A.V.E.L.",0,"Dobra volba 2016","ANO 2011",1,NA
"Iraq","IRQ","Czechia",2017-10-20,"Legislative",52,45,45,NA,NA,12,"ANO 2011",6,"Krest.demokr.unie-Cs.str.lid.",6,"REALISTE",5,"Strana svobodnych obcanu",4,"STAROSTOVE A NEZAVISLI",3,"Obcanska demokraticka strana",3,"Svob.a pr.dem.-T.Okamura (SPD)",2,"Ceska str.socialne demokrat.",2,"Komunisticka str.Cech a Moravy",1,"TOP 09",1,"Rad naroda - Vlastenecka unie",0,"Strana zelenych",0,"ROZUMNI-stop migraci,diktat.EU",0,"Ceska piratska strana",0,"Ceska strana narodne socialni",0,"Radostne Cesko",0,"Strana Prav Obcanu",0,"Obcanska demokraticka aliance",0,"SPR-Republ.str.Csl. M.Sladka",0,"SPORTOVCI",0,"Referendum o Evropske unii",0,"CESTA ODPOVEDNE SPOLECNOSTI",0,"Blok proti islam.-Obran.domova",0,"Unie H.A.V.E.L.",0,"Dobra volba 2016","ANO 2011",12,NA
"Ireland","IRL","Czechia",2017-10-20,"Legislative",260,170,170,NA,NA,39,"Ceska piratska strana",37,"TOP 09",24,"Obcanska demokraticka strana",16,"STAROSTOVE A NEZAVISLI",13,"Strana zelenych",11,"Svob.a pr.dem.-T.Okamura (SPD)",8,"Strana svobodnych obcanu",8,"ANO 2011",4,"Ceska str.socialne demokrat.",4,"Krest.demokr.unie-Cs.str.lid.",3,"REALISTE",2,"Komunisticka str.Cech a Moravy",1,"SPORTOVCI",0,"ROZUMNI-stop migraci,diktat.EU",0,"Ceska strana narodne socialni",0,"Radostne Cesko",0,"Strana Prav Obcanu",0,"Rad naroda - Vlastenecka unie",0,"Obcanska demokraticka aliance",0,"SPR-Republ.str.Csl. M.Sladka",0,"Referendum o Evropske unii",0,"CESTA ODPOVEDNE SPOLECNOSTI",0,"Blok proti islam.-Obran.domova",0,"Unie H.A.V.E.L.",0,"Dobra volba 2016","ANO 2011",8,NA
"Israel","ISR","Czechia",2017-10-20,"Legislative",229,129,129,NA,NA,45,"TOP 09",21,"Ceska piratska strana",19,"Obcanska demokraticka strana",12,"Strana zelenych",9,"STAROSTOVE A NEZAVISLI",6,"Ceska str.socialne demokrat.",5,"ANO 2011",5,"Krest.demokr.unie-Cs.str.lid.",3,"Strana svobodnych obcanu",2,"REALISTE",1,"Svob.a pr.dem.-T.Okamura (SPD)",1,"Strana Prav Obcanu",0,"Komunisticka str.Cech a Moravy",0,"ROZUMNI-stop migraci,diktat.EU",0,"Ceska strana narodne socialni",0,"Radostne Cesko",0,"Rad naroda - Vlastenecka unie",0,"Obcanska demokraticka aliance",0,"SPR-Republ.str.Csl. M.Sladka",0,"SPORTOVCI",0,"Referendum o Evropske unii",0,"CESTA ODPOVEDNE SPOLECNOSTI",0,"Blok proti islam.-Obran.domova",0,"Unie H.A.V.E.L.",0,"Dobra volba 2016","ANO 2011",5,NA
"Italy","ITA","Czechia",2017-10-20,"Legislative",355,295,295,NA,NA,85,"TOP 09",51,"Obcanska demokraticka strana",48,"Ceska piratska strana",35,"Krest.demokr.unie-Cs.str.lid.",29,"STAROSTOVE A NEZAVISLI",12,"Svob.a pr.dem.-T.Okamura (SPD)",11,"Strana zelenych",8,"ANO 2011",6,"Ceska str.socialne demokrat.",5,"Strana svobodnych obcanu",3,"Komunisticka str.Cech a Moravy",1,"Strana Prav Obcanu",1,"Obcanska demokraticka aliance",0,"ROZUMNI-stop migraci,diktat.EU",0,"REALISTE",0,"Ceska strana narodne socialni",0,"Radostne Cesko",0,"Rad naroda - Vlastenecka unie",0,"SPR-Republ.str.Csl. M.Sladka",0,"SPORTOVCI",0,"Referendum o Evropske unii",0,"CESTA ODPOVEDNE SPOLECNOSTI",0,"Blok proti islam.-Obran.domova",0,"Unie H.A.V.E.L.",0,"Dobra volba 2016","ANO 2011",8,NA
"Japan","JPN","Czechia",2017-10-20,"Legislative",111,89,89,NA,NA,21,"TOP 09",17,"Ceska piratska strana",13,"Obcanska demokraticka strana",10,"STAROSTOVE A NEZAVISLI",8,"ANO 2011",8,"Krest.demokr.unie-Cs.str.lid.",5,"Strana zelenych",3,"Strana svobodnych obcanu",3,"Svob.a pr.dem.-T.Okamura (SPD)",1,"Ceska str.socialne demokrat.",0,"Komunisticka str.Cech a Moravy",0,"ROZUMNI-stop migraci,diktat.EU",0,"REALISTE",0,"Ceska strana narodne socialni",0,"Radostne Cesko",0,"Strana Prav Obcanu",0,"Rad naroda - Vlastenecka unie",0,"Obcanska demokraticka aliance",0,"SPR-Republ.str.Csl. M.Sladka",0,"SPORTOVCI",0,"Referendum o Evropske unii",0,"CESTA ODPOVEDNE SPOLECNOSTI",0,"Blok proti islam.-Obran.domova",0,"Unie H.A.V.E.L.",0,"Dobra volba 2016","ANO 2011",8,NA
"Jordan","JOR","Czechia",2017-10-20,"Legislative",21,17,17,NA,NA,5,"Ceska str.socialne demokrat.",4,"Ceska piratska strana",3,"ANO 2011",2,"Strana zelenych",1,"Obcanska demokraticka strana",1,"STAROSTOVE A NEZAVISLI",1,"Svob.a pr.dem.-T.Okamura (SPD)",0,"Komunisticka str.Cech a Moravy",0,"ROZUMNI-stop migraci,diktat.EU",0,"Strana svobodnych obcanu",0,"TOP 09",0,"Krest.demokr.unie-Cs.str.lid.",0,"REALISTE",0,"Ceska strana narodne socialni",0,"Radostne Cesko",0,"Strana Prav Obcanu",0,"Rad naroda - Vlastenecka unie",0,"Obcanska demokraticka aliance",0,"SPR-Republ.str.Csl. M.Sladka",0,"SPORTOVCI",0,"Referendum o Evropske unii",0,"CESTA ODPOVEDNE SPOLECNOSTI",0,"Blok proti islam.-Obran.domova",0,"Unie H.A.V.E.L.",0,"Dobra volba 2016","ANO 2011",3,NA
"Kazakhstan","KAZ","Czechia",2017-10-20,"Legislative",20,17,17,NA,NA,4,"Ceska piratska strana",3,"ANO 2011",2,"Ceska str.socialne demokrat.",2,"Strana zelenych",2,"TOP 09",2,"Krest.demokr.unie-Cs.str.lid.",1,"STAROSTOVE A NEZAVISLI",1,"REALISTE",0,"Obcanska demokraticka strana",0,"Komunisticka str.Cech a Moravy",0,"ROZUMNI-stop migraci,diktat.EU",0,"Strana svobodnych obcanu",0,"Svob.a pr.dem.-T.Okamura (SPD)",0,"Ceska strana narodne socialni",0,"Radostne Cesko",0,"Strana Prav Obcanu",0,"Rad naroda - Vlastenecka unie",0,"Obcanska demokraticka aliance",0,"SPR-Republ.str.Csl. M.Sladka",0,"SPORTOVCI",0,"Referendum o Evropske unii",0,"CESTA ODPOVEDNE SPOLECNOSTI",0,"Blok proti islam.-Obran.domova",0,"Unie H.A.V.E.L.",0,"Dobra volba 2016","ANO 2011",3,NA
"Kenya","KEN","Czechia",2017-10-20,"Legislative",14,13,13,NA,NA,3,"STAROSTOVE A NEZAVISLI",2,"Obcanska demokraticka strana",2,"Strana svobodnych obcanu",2,"ANO 2011",1,"Ceska piratska strana",1,"TOP 09",1,"Krest.demokr.unie-Cs.str.lid.",1,"Ceska strana narodne socialni",0,"Ceska str.socialne demokrat.",0,"Komunisticka str.Cech a Moravy",0,"Strana zelenych",0,"ROZUMNI-stop migraci,diktat.EU",0,"REALISTE",0,"Svob.a pr.dem.-T.Okamura (SPD)",0,"Radostne Cesko",0,"Strana Prav Obcanu",0,"Rad naroda - Vlastenecka unie",0,"Obcanska demokraticka aliance",0,"SPR-Republ.str.Csl. M.Sladka",0,"SPORTOVCI",0,"Referendum o Evropske unii",0,"CESTA ODPOVEDNE SPOLECNOSTI",0,"Blok proti islam.-Obran.domova",0,"Unie H.A.V.E.L.",0,"Dobra volba 2016","ANO 2011",2,NA
"Kosovo",NA,"Czechia",2017-10-20,"Legislative",24,22,22,NA,NA,4,"Ceska piratska strana",3,"Obcanska demokraticka strana",3,"ANO 2011",3,"Krest.demokr.unie-Cs.str.lid.",3,"Svob.a pr.dem.-T.Okamura (SPD)",2,"Ceska str.socialne demokrat.",1,"STAROSTOVE A NEZAVISLI",1,"Strana zelenych",1,"TOP 09",1,"REALISTE",0,"Komunisticka str.Cech a Moravy",0,"ROZUMNI-stop migraci,diktat.EU",0,"Strana svobodnych obcanu",0,"Ceska strana narodne socialni",0,"Radostne Cesko",0,"Strana Prav Obcanu",0,"Rad naroda - Vlastenecka unie",0,"Obcanska demokraticka aliance",0,"SPR-Republ.str.Csl. M.Sladka",0,"SPORTOVCI",0,"Referendum o Evropske unii",0,"CESTA ODPOVEDNE SPOLECNOSTI",0,"Blok proti islam.-Obran.domova",0,"Unie H.A.V.E.L.",0,"Dobra volba 2016","ANO 2011",3,NA
"Kuwait","KWT","Czechia",2017-10-20,"Legislative",34,24,24,NA,NA,7,"TOP 09",5,"Svob.a pr.dem.-T.Okamura (SPD)",4,"Ceska piratska strana",3,"ROZUMNI-stop migraci,diktat.EU",1,"Obcanska demokraticka strana",1,"Ceska str.socialne demokrat.",1,"STAROSTOVE A NEZAVISLI",1,"REALISTE",1,"Strana Prav Obcanu",0,"Komunisticka str.Cech a Moravy",0,"Strana zelenych",0,"Strana svobodnych obcanu",0,"ANO 2011",0,"Krest.demokr.unie-Cs.str.lid.",0,"Ceska strana narodne socialni",0,"Radostne Cesko",0,"Rad naroda - Vlastenecka unie",0,"Obcanska demokraticka aliance",0,"SPR-Republ.str.Csl. M.Sladka",0,"SPORTOVCI",0,"Referendum o Evropske unii",0,"CESTA ODPOVEDNE SPOLECNOSTI",0,"Blok proti islam.-Obran.domova",0,"Unie H.A.V.E.L.",0,"Dobra volba 2016","ANO 2011",0,NA
"Latvia","LVA","Czechia",2017-10-20,"Legislative",31,27,27,NA,NA,8,"TOP 09",4,"Ceska str.socialne demokrat.",4,"Svob.a pr.dem.-T.Okamura (SPD)",3,"Obcanska demokraticka strana",3,"Ceska piratska strana",2,"STAROSTOVE A NEZAVISLI",2,"Komunisticka str.Cech a Moravy",1,"Strana zelenych",0,"ROZUMNI-stop migraci,diktat.EU",0,"Strana svobodnych obcanu",0,"ANO 2011",0,"Krest.demokr.unie-Cs.str.lid.",0,"REALISTE",0,"Ceska strana narodne socialni",0,"Radostne Cesko",0,"Strana Prav Obcanu",0,"Rad naroda - Vlastenecka unie",0,"Obcanska demokraticka aliance",0,"SPR-Republ.str.Csl. M.Sladka",0,"SPORTOVCI",0,"Referendum o Evropske unii",0,"CESTA ODPOVEDNE SPOLECNOSTI",0,"Blok proti islam.-Obran.domova",0,"Unie H.A.V.E.L.",0,"Dobra volba 2016","ANO 2011",0,NA
"Lebanon","LBN","Czechia",2017-10-20,"Legislative",19,11,11,NA,NA,4,"Ceska piratska strana",4,"ANO 2011",1,"Ceska str.socialne demokrat.",1,"TOP 09",1,"Krest.demokr.unie-Cs.str.lid.",0,"Obcanska demokraticka strana",0,"STAROSTOVE A NEZAVISLI",0,"Komunisticka str.Cech a Moravy",0,"Strana zelenych",0,"ROZUMNI-stop migraci,diktat.EU",0,"Strana svobodnych obcanu",0,"REALISTE",0,"Svob.a pr.dem.-T.Okamura (SPD)",0,"Ceska strana narodne socialni",0,"Radostne Cesko",0,"Strana Prav Obcanu",0,"Rad naroda - Vlastenecka unie",0,"Obcanska demokraticka aliance",0,"SPR-Republ.str.Csl. M.Sladka",0,"SPORTOVCI",0,"Referendum o Evropske unii",0,"CESTA ODPOVEDNE SPOLECNOSTI",0,"Blok proti islam.-Obran.domova",0,"Unie H.A.V.E.L.",0,"Dobra volba 2016","ANO 2011",4,NA
"Lithuania","LTU","Czechia",2017-10-20,"Legislative",37,36,36,NA,NA,11,"STAROSTOVE A NEZAVISLI",6,"ANO 2011",5,"Obcanska demokraticka strana",5,"Ceska piratska strana",3,"TOP 09",2,"Krest.demokr.unie-Cs.str.lid.",1,"Ceska str.socialne demokrat.",1,"Strana zelenych",1,"Strana svobodnych obcanu",1,"Svob.a pr.dem.-T.Okamura (SPD)",0,"Komunisticka str.Cech a Moravy",0,"ROZUMNI-stop migraci,diktat.EU",0,"REALISTE",0,"Ceska strana narodne socialni",0,"Radostne Cesko",0,"Strana Prav Obcanu",0,"Rad naroda - Vlastenecka unie",0,"Obcanska demokraticka aliance",0,"SPR-Republ.str.Csl. M.Sladka",0,"SPORTOVCI",0,"Referendum o Evropske unii",0,"CESTA ODPOVEDNE SPOLECNOSTI",0,"Blok proti islam.-Obran.domova",0,"Unie H.A.V.E.L.",0,"Dobra volba 2016","ANO 2011",6,NA
"Luxembourg","LUX","Czechia",2017-10-20,"Legislative",266,222,222,NA,NA,69,"TOP 09",30,"Ceska piratska strana",22,"Obcanska demokraticka strana",22,"Krest.demokr.unie-Cs.str.lid.",17,"STAROSTOVE A NEZAVISLI",16,"Strana zelenych",15,"ANO 2011",14,"Ceska str.socialne demokrat.",7,"Svob.a pr.dem.-T.Okamura (SPD)",5,"Strana svobodnych obcanu",2,"REALISTE",1,"Komunisticka str.Cech a Moravy",1,"Radostne Cesko",1,"CESTA ODPOVEDNE SPOLECNOSTI",0,"ROZUMNI-stop migraci,diktat.EU",0,"Ceska strana narodne socialni",0,"Strana Prav Obcanu",0,"Rad naroda - Vlastenecka unie",0,"Obcanska demokraticka aliance",0,"SPR-Republ.str.Csl. M.Sladka",0,"SPORTOVCI",0,"Referendum o Evropske unii",0,"Blok proti islam.-Obran.domova",0,"Unie H.A.V.E.L.",0,"Dobra volba 2016","ANO 2011",15,NA
"Malaysia","MYS","Czechia",2017-10-20,"Legislative",28,21,21,NA,NA,8,"Ceska piratska strana",2,"Ceska str.socialne demokrat.",2,"Strana zelenych",2,"TOP 09",2,"ANO 2011",2,"Krest.demokr.unie-Cs.str.lid.",2,"Svob.a pr.dem.-T.Okamura (SPD)",1,"Obcanska demokraticka strana",0,"STAROSTOVE A NEZAVISLI",0,"Komunisticka str.Cech a Moravy",0,"ROZUMNI-stop migraci,diktat.EU",0,"Strana svobodnych obcanu",0,"REALISTE",0,"Ceska strana narodne socialni",0,"Radostne Cesko",0,"Strana Prav Obcanu",0,"Rad naroda - Vlastenecka unie",0,"Obcanska demokraticka aliance",0,"SPR-Republ.str.Csl. M.Sladka",0,"SPORTOVCI",0,"Referendum o Evropske unii",0,"CESTA ODPOVEDNE SPOLECNOSTI",0,"Blok proti islam.-Obran.domova",0,"Unie H.A.V.E.L.",0,"Dobra volba 2016","ANO 2011",2,NA
"Mexico","MEX","Czechia",2017-10-20,"Legislative",68,45,45,NA,NA,7,"TOP 09",6,"Strana zelenych",6,"Ceska piratska strana",6,"Krest.demokr.unie-Cs.str.lid.",5,"Obcanska demokraticka strana",5,"ANO 2011",4,"Ceska str.socialne demokrat.",2,"Strana svobodnych obcanu",2,"Svob.a pr.dem.-T.Okamura (SPD)",1,"STAROSTOVE A NEZAVISLI",1,"Rad naroda - Vlastenecka unie",0,"Komunisticka str.Cech a Moravy",0,"ROZUMNI-stop migraci,diktat.EU",0,"REALISTE",0,"Ceska strana narodne socialni",0,"Radostne Cesko",0,"Strana Prav Obcanu",0,"Obcanska demokraticka aliance",0,"SPR-Republ.str.Csl. M.Sladka",0,"SPORTOVCI",0,"Referendum o Evropske unii",0,"CESTA ODPOVEDNE SPOLECNOSTI",0,"Blok proti islam.-Obran.domova",0,"Unie H.A.V.E.L.",0,"Dobra volba 2016","ANO 2011",5,NA
"Moldova","MDA","Czechia",2017-10-20,"Legislative",14,13,13,NA,NA,3,"ANO 2011",2,"Obcanska demokraticka strana",2,"Ceska str.socialne demokrat.",2,"Krest.demokr.unie-Cs.str.lid.",1,"STAROSTOVE A NEZAVISLI",1,"Ceska piratska strana",1,"TOP 09",1,"Blok proti islam.-Obran.domova",0,"Komunisticka str.Cech a Moravy",0,"Strana zelenych",0,"ROZUMNI-stop migraci,diktat.EU",0,"Strana svobodnych obcanu",0,"REALISTE",0,"Svob.a pr.dem.-T.Okamura (SPD)",0,"Ceska strana narodne socialni",0,"Radostne Cesko",0,"Strana Prav Obcanu",0,"Rad naroda - Vlastenecka unie",0,"Obcanska demokraticka aliance",0,"SPR-Republ.str.Csl. M.Sladka",0,"SPORTOVCI",0,"Referendum o Evropske unii",0,"CESTA ODPOVEDNE SPOLECNOSTI",0,"Unie H.A.V.E.L.",0,"Dobra volba 2016","ANO 2011",3,NA
"Mongolia","MNG","Czechia",2017-10-20,"Legislative",23,17,17,NA,NA,4,"ANO 2011",3,"Obcanska demokraticka strana",3,"Strana zelenych",2,"TOP 09",1,"REALISTE",1,"Svob.a pr.dem.-T.Okamura (SPD)",1,"Strana Prav Obcanu",1,"SPR-Republ.str.Csl. M.Sladka",1,"SPORTOVCI",0,"Ceska str.socialne demokrat.",0,"STAROSTOVE A NEZAVISLI",0,"Komunisticka str.Cech a Moravy",0,"ROZUMNI-stop migraci,diktat.EU",0,"Strana svobodnych obcanu",0,"Ceska piratska strana",0,"Krest.demokr.unie-Cs.str.lid.",0,"Ceska strana narodne socialni",0,"Radostne Cesko",0,"Rad naroda - Vlastenecka unie",0,"Obcanska demokraticka aliance",0,"Referendum o Evropske unii",0,"CESTA ODPOVEDNE SPOLECNOSTI",0,"Blok proti islam.-Obran.domova",0,"Unie H.A.V.E.L.",0,"Dobra volba 2016","ANO 2011",4,NA
"Montenegro","MNE","Czechia",2017-10-20,"Legislative",29,18,17,NA,NA,7,"TOP 09",5,"Obcanska demokraticka strana",2,"Ceska str.socialne demokrat.",1,"ROZUMNI-stop migraci,diktat.EU",1,"Strana svobodnych obcanu",1,"Ceska piratska strana",0,"STAROSTOVE A NEZAVISLI",0,"Komunisticka str.Cech a Moravy",0,"Strana zelenych",0,"ANO 2011",0,"Krest.demokr.unie-Cs.str.lid.",0,"REALISTE",0,"Svob.a pr.dem.-T.Okamura (SPD)",0,"Ceska strana narodne socialni",0,"Radostne Cesko",0,"Strana Prav Obcanu",0,"Rad naroda - Vlastenecka unie",0,"Obcanska demokraticka aliance",0,"SPR-Republ.str.Csl. M.Sladka",0,"SPORTOVCI",0,"Referendum o Evropske unii",0,"CESTA ODPOVEDNE SPOLECNOSTI",0,"Blok proti islam.-Obran.domova",0,"Unie H.A.V.E.L.",0,"Dobra volba 2016","ANO 2011",0,NA
"Morocco","MAR","Czechia",2017-10-20,"Legislative",19,17,17,NA,NA,8,"TOP 09",4,"Krest.demokr.unie-Cs.str.lid.",3,"Ceska str.socialne demokrat.",1,"Strana zelenych",1,"Ceska piratska strana",0,"Obcanska demokraticka strana",0,"STAROSTOVE A NEZAVISLI",0,"Komunisticka str.Cech a Moravy",0,"ROZUMNI-stop migraci,diktat.EU",0,"Strana svobodnych obcanu",0,"ANO 2011",0,"REALISTE",0,"Svob.a pr.dem.-T.Okamura (SPD)",0,"Ceska strana narodne socialni",0,"Radostne Cesko",0,"Strana Prav Obcanu",0,"Rad naroda - Vlastenecka unie",0,"Obcanska demokraticka aliance",0,"SPR-Republ.str.Csl. M.Sladka",0,"SPORTOVCI",0,"Referendum o Evropske unii",0,"CESTA ODPOVEDNE SPOLECNOSTI",0,"Blok proti islam.-Obran.domova",0,"Unie H.A.V.E.L.",0,"Dobra volba 2016","ANO 2011",0,NA
"Myanmar","MMR","Czechia",2017-10-20,"Legislative",22,22,22,NA,NA,7,"Ceska piratska strana",4,"STAROSTOVE A NEZAVISLI",4,"TOP 09",3,"Ceska str.socialne demokrat.",2,"Strana zelenych",1,"Obcanska demokraticka strana",1,"ANO 2011",0,"Komunisticka str.Cech a Moravy",0,"ROZUMNI-stop migraci,diktat.EU",0,"Strana svobodnych obcanu",0,"Krest.demokr.unie-Cs.str.lid.",0,"REALISTE",0,"Svob.a pr.dem.-T.Okamura (SPD)",0,"Ceska strana narodne socialni",0,"Radostne Cesko",0,"Strana Prav Obcanu",0,"Rad naroda - Vlastenecka unie",0,"Obcanska demokraticka aliance",0,"SPR-Republ.str.Csl. M.Sladka",0,"SPORTOVCI",0,"Referendum o Evropske unii",0,"CESTA ODPOVEDNE SPOLECNOSTI",0,"Blok proti islam.-Obran.domova",0,"Unie H.A.V.E.L.",0,"Dobra volba 2016","ANO 2011",1,NA
