"country","country_of_origin","election_date","election_type","registered_voters","total_votes","valid_votes","null_votes","blanco_votes","invalid_votes","votes_party_1","party_party_1","votes_party_2","party_party_2","votes_party_3","party_party_3","votes_party_4","party_party_4","votes_party_5","party_party_5","votes_party_6","party_party_6","votes_party_7","party_party_7","votes_party_8","party_party_8","votes_party_9","party_party_9","votes_party_10","party_party_10","votes_party_11","party_party_11","votes_party_12","party_party_12","votes_party_13","party_party_13","votes_party_14","party_party_14","votes_party_15","party_party_15","votes_party_16","party_party_16","votes_party_17","party_party_17","votes_party_18","party_party_18","votes_party_19","party_party_19","votes_party_20","party_party_20","votes_party_21","party_party_21","votes_party_22","party_party_22","votes_party_23","party_party_23","votes_party_24","party_party_24","votes_party_25","party_party_25","votes_party_26","party_party_26","votes_party_27","party_party_27","votes_party_28","party_party_28","votes_party_29","party_party_29","votes_party_30","party_party_30","votes_party_31","party_party_31","votes_party_32","party_party_32","votes_party_33","party_party_33","votes_party_34","party_party_34","votes_party_35","party_party_35","votes_party_36","party_party_36","votes_party_37","party_party_37","votes_party_38","party_party_38","votes_party_39","party_party_39","votes_party_40","party_party_40","votes_party_41","party_party_41","votes_party_42","party_party_42","votes_party_43","party_party_43","votes_party_44","party_party_44","votes_party_45","party_party_45","votes_party_46","party_party_46","votes_party_47","party_party_47","votes_party_48","party_party_48","votes_party_49","party_party_49","votes_party_50","party_party_50","votes_party_51","party_party_51","votes_party_52","party_party_52","votes_party_53","party_party_53","votes_party_54","party_party_54","votes_party_55","party_party_55","national_winner","votes_national_winner","unmarked_votes"
"North Korea","Romania",2000-11-26,"Legislative",NA,8,8,0,NA,NA,4,"PRM",2,"ApR",1,"PDSR-PUR-PSDR",1,"FDGR",0,"CDR 2000",0,"PNT",0,"PNL - C",0,"PNL",0,"PLRSD",0,"PDPRD",0,"P ROMII",0,"PD",0,"F - EVREI",0,"ECOLOGISTII",0,"PSAP",0,"UDMR",0,"CI",0,"PNDC",0,"C ITRO - IS2",0,"PUNR - PNR",0,"PLDMRO",0,"C - ROMII",0,"LAR",0,"PVR",0,"U - TURCA",0,"PREV",0,"PLDR",0,"PRN",0,"UDC",0,"U - UCRAINENI",0,"PSM",0,"U - ARMENI",0,"PN",0,"PSDCTP",0,"UBBR",0,"PP",0,"PSR",0,"C - TURCA",0,"LIR",0,"U D - UCRAINENI",0,"ULB",0,"U - CROATI",0,"U - TATARI",0,"L C- ITALIENI",0,"AMSR",0,"U - ELENA",0,"DOM POLSKI",0,"PMR",0,"G2K",0,"C LIPOVENI",0,"PUPPD",0,"A - BULGARI",0,"C ELENA PH",0,"U - RUTENI",0,"UCAR","PDSR-PUR-PSDR",1,NA
"South Korea","Romania",2000-11-26,"Legislative",NA,51,50,1,NA,NA,9,"PDSR-PUR-PSDR",9,"PD",8,"PNL",7,"PRM",6,"CDR 2000",2,"ECOLOGISTII",2,"PUNR - PNR",1,"ApR",1,"PDPRD",1,"PSAP",1,"CI",1,"LAR",1,"PLDR",1,"FDGR",0,"PNT",0,"PNL - C",0,"PLRSD",0,"P ROMII",0,"F - EVREI",0,"UDMR",0,"PNDC",0,"C ITRO - IS2",0,"PLDMRO",0,"C - ROMII",0,"PVR",0,"U - TURCA",0,"PREV",0,"PRN",0,"UDC",0,"U - UCRAINENI",0,"PSM",0,"U - ARMENI",0,"PN",0,"PSDCTP",0,"UBBR",0,"PP",0,"PSR",0,"C - TURCA",0,"LIR",0,"U D - UCRAINENI",0,"ULB",0,"U - CROATI",0,"U - TATARI",0,"L C- ITALIENI",0,"AMSR",0,"U - ELENA",0,"DOM POLSKI",0,"PMR",0,"G2K",0,"C LIPOVENI",0,"PUPPD",0,"A - BULGARI",0,"C ELENA PH",0,"U - RUTENI",0,"UCAR","PDSR-PUR-PSDR",9,NA
"Croatia","Romania",2000-11-26,"Legislative",NA,40,40,0,NA,NA,6,"CDR 2000",6,"PDSR-PUR-PSDR",6,"PNL",4,"PRM",3,"CI",3,"U - CROATI",2,"ApR",2,"PD",2,"PLDR",1,"PDPRD",1,"C ITRO - IS2",1,"PUNR - PNR",1,"UDC",1,"PSDCTP",1,"U - ELENA",0,"PNT",0,"PNL - C",0,"PLRSD",0,"P ROMII",0,"F - EVREI",0,"ECOLOGISTII",0,"PSAP",0,"UDMR",0,"PNDC",0,"PLDMRO",0,"C - ROMII",0,"LAR",0,"PVR",0,"U - TURCA",0,"PREV",0,"PRN",0,"U - UCRAINENI",0,"PSM",0,"U - ARMENI",0,"PN",0,"UBBR",0,"PP",0,"PSR",0,"C - TURCA",0,"LIR",0,"FDGR",0,"U D - UCRAINENI",0,"ULB",0,"U - TATARI",0,"L C- ITALIENI",0,"AMSR",0,"DOM POLSKI",0,"PMR",0,"G2K",0,"C LIPOVENI",0,"PUPPD",0,"A - BULGARI",0,"C ELENA PH",0,"U - RUTENI",0,"UCAR","PDSR-PUR-PSDR",6,NA
"Cuba","Romania",2000-11-26,"Legislative",NA,22,22,0,NA,NA,7,"PDSR-PUR-PSDR",5,"CDR 2000",4,"PDPRD",2,"PD",1,"PNL",1,"PSR",1,"U - ELENA",1,"PMR",0,"PRM",0,"PNT",0,"PNL - C",0,"ApR",0,"PLRSD",0,"P ROMII",0,"F - EVREI",0,"ECOLOGISTII",0,"PSAP",0,"UDMR",0,"CI",0,"PNDC",0,"C ITRO - IS2",0,"PUNR - PNR",0,"PLDMRO",0,"C - ROMII",0,"LAR",0,"PVR",0,"U - TURCA",0,"PREV",0,"PLDR",0,"PRN",0,"UDC",0,"U - UCRAINENI",0,"PSM",0,"U - ARMENI",0,"PN",0,"PSDCTP",0,"UBBR",0,"PP",0,"C - TURCA",0,"LIR",0,"FDGR",0,"U D - UCRAINENI",0,"ULB",0,"U - CROATI",0,"U - TATARI",0,"L C- ITALIENI",0,"AMSR",0,"DOM POLSKI",0,"G2K",0,"C LIPOVENI",0,"PUPPD",0,"A - BULGARI",0,"C ELENA PH",0,"U - RUTENI",0,"UCAR","PDSR-PUR-PSDR",7,NA
"Denmark","Romania",2000-11-26,"Legislative",NA,173,169,4,NA,NA,56,"CDR 2000",27,"PNL",23,"PDSR-PUR-PSDR",17,"PRM",12,"PD",6,"ApR",5,"UDMR",4,"PNL - C",3,"PNT",2,"CI",2,"PNDC",2,"PUNR - PNR",2,"PLDR",1,"ECOLOGISTII",1,"PLDMRO",1,"LAR",1,"PVR",1,"U - TURCA",1,"PSM",1,"PP",1,"FDGR",0,"PLRSD",0,"PDPRD",0,"P ROMII",0,"F - EVREI",0,"PSAP",0,"C ITRO - IS2",0,"C - ROMII",0,"PREV",0,"PRN",0,"UDC",0,"U - UCRAINENI",0,"U - ARMENI",0,"PN",0,"PSDCTP",0,"UBBR",0,"PSR",0,"C - TURCA",0,"LIR",0,"U D - UCRAINENI",0,"ULB",0,"U - CROATI",0,"U - TATARI",0,"L C- ITALIENI",0,"AMSR",0,"U - ELENA",0,"DOM POLSKI",0,"PMR",0,"G2K",0,"C LIPOVENI",0,"PUPPD",0,"A - BULGARI",0,"C ELENA PH",0,"U - RUTENI",0,"UCAR","PDSR-PUR-PSDR",23,NA
"Egypt","Romania",2000-11-26,"Legislative",NA,106,105,1,NA,NA,27,"PDSR-PUR-PSDR",19,"CDR 2000",18,"PRM",14,"PD",11,"PNL",2,"ECOLOGISTII",2,"PUNR - PNR",1,"PNL - C",1,"ApR",1,"PLRSD",1,"UDMR",1,"C - ROMII",1,"PVR",1,"PLDR",1,"PRN",1,"UDC",1,"PN",1,"C LIPOVENI",1,"PUPPD",0,"PNT",0,"PDPRD",0,"P ROMII",0,"F - EVREI",0,"PSAP",0,"CI",0,"PNDC",0,"C ITRO - IS2",0,"PLDMRO",0,"LAR",0,"U - TURCA",0,"PREV",0,"U - UCRAINENI",0,"PSM",0,"U - ARMENI",0,"PSDCTP",0,"UBBR",0,"PP",0,"PSR",0,"C - TURCA",0,"LIR",0,"FDGR",0,"U D - UCRAINENI",0,"ULB",0,"U - CROATI",0,"U - TATARI",0,"L C- ITALIENI",0,"AMSR",0,"U - ELENA",0,"DOM POLSKI",0,"PMR",0,"G2K",0,"A - BULGARI",0,"C ELENA PH",0,"U - RUTENI",0,"UCAR","PDSR-PUR-PSDR",27,NA
"Switzerland","Romania",2000-11-26,"Legislative",NA,581,576,5,NA,NA,266,"CDR 2000",101,"PNL",73,"PDSR-PUR-PSDR",30,"PD",24,"PRM",14,"PNL - C",9,"ApR",8,"ECOLOGISTII",7,"PNT",6,"UDMR",5,"PDPRD",5,"PVR",3,"PLDR",3,"PSDCTP",2,"F - EVREI",2,"PSAP",2,"PRN",2,"U - ARMENI",2,"FDGR",2,"U - ELENA",1,"PLRSD",1,"CI",1,"C ITRO - IS2",1,"PUNR - PNR",1,"PLDMRO",1,"C - ROMII",1,"PSM",1,"PN",1,"ULB",1,"G2K",0,"P ROMII",0,"PNDC",0,"LAR",0,"U - TURCA",0,"PREV",0,"UDC",0,"U - UCRAINENI",0,"UBBR",0,"PP",0,"PSR",0,"C - TURCA",0,"LIR",0,"U D - UCRAINENI",0,"U - CROATI",0,"U - TATARI",0,"L C- ITALIENI",0,"AMSR",0,"DOM POLSKI",0,"PMR",0,"C LIPOVENI",0,"PUPPD",0,"A - BULGARI",0,"C ELENA PH",0,"U - RUTENI",0,"UCAR","PDSR-PUR-PSDR",73,NA
"United Arab Emirates","Romania",2000-11-26,"Legislative",NA,214,212,2,NA,NA,49,"PNL",34,"CDR 2000",31,"PRM",26,"PD",19,"PDSR-PUR-PSDR",11,"PNL - C",10,"ApR",7,"ECOLOGISTII",3,"UDMR",3,"PLDR",3,"U - TATARI",2,"CI",2,"PSM",2,"ULB",1,"F - EVREI",1,"PNDC",1,"PUNR - PNR",1,"C - ROMII",1,"PRN",1,"UBBR",1,"PSR",1,"C - TURCA",1,"FDGR",1,"C LIPOVENI",0,"PNT",0,"PLRSD",0,"PDPRD",0,"P ROMII",0,"PSAP",0,"C ITRO - IS2",0,"PLDMRO",0,"LAR",0,"PVR",0,"U - TURCA",0,"PREV",0,"UDC",0,"U - UCRAINENI",0,"U - ARMENI",0,"PN",0,"PSDCTP",0,"PP",0,"LIR",0,"U D - UCRAINENI",0,"U - CROATI",0,"L C- ITALIENI",0,"AMSR",0,"U - ELENA",0,"DOM POLSKI",0,"PMR",0,"G2K",0,"PUPPD",0,"A - BULGARI",0,"C ELENA PH",0,"U - RUTENI",0,"UCAR","PDSR-PUR-PSDR",19,NA
"Ethiopia","Romania",2000-11-26,"Legislative",NA,9,9,0,NA,NA,4,"PDSR-PUR-PSDR",2,"CDR 2000",1,"PNL",1,"ApR",1,"PD",0,"PRM",0,"PNT",0,"PNL - C",0,"PLRSD",0,"PDPRD",0,"P ROMII",0,"F - EVREI",0,"ECOLOGISTII",0,"PSAP",0,"UDMR",0,"CI",0,"PNDC",0,"C ITRO - IS2",0,"PUNR - PNR",0,"PLDMRO",0,"C - ROMII",0,"LAR",0,"PVR",0,"U - TURCA",0,"PREV",0,"PLDR",0,"PRN",0,"UDC",0,"U - UCRAINENI",0,"PSM",0,"U - ARMENI",0,"PN",0,"PSDCTP",0,"UBBR",0,"PP",0,"PSR",0,"C - TURCA",0,"LIR",0,"FDGR",0,"U D - UCRAINENI",0,"ULB",0,"U - CROATI",0,"U - TATARI",0,"L C- ITALIENI",0,"AMSR",0,"U - ELENA",0,"DOM POLSKI",0,"PMR",0,"G2K",0,"C LIPOVENI",0,"PUPPD",0,"A - BULGARI",0,"C ELENA PH",0,"U - RUTENI",0,"UCAR","PDSR-PUR-PSDR",4,NA
"Russia","Romania",2000-11-26,"Legislative",NA,176,176,0,NA,NA,78,"PDSR-PUR-PSDR",19,"PNL",18,"PD",17,"PRM",10,"CDR 2000",6,"ApR",5,"C LIPOVENI",4,"PNL - C",4,"PSM",3,"ECOLOGISTII",3,"UDMR",2,"PDPRD",2,"PUNR - PNR",1,"PNT",1,"F - EVREI",1,"PLDMRO",1,"PVR",1,"AMSR",0,"PLRSD",0,"P ROMII",0,"PSAP",0,"CI",0,"PNDC",0,"C ITRO - IS2",0,"C - ROMII",0,"LAR",0,"U - TURCA",0,"PREV",0,"PLDR",0,"PRN",0,"UDC",0,"U - UCRAINENI",0,"U - ARMENI",0,"PN",0,"PSDCTP",0,"UBBR",0,"PP",0,"PSR",0,"C - TURCA",0,"LIR",0,"FDGR",0,"U D - UCRAINENI",0,"ULB",0,"U - CROATI",0,"U - TATARI",0,"L C- ITALIENI",0,"U - ELENA",0,"DOM POLSKI",0,"PMR",0,"G2K",0,"PUPPD",0,"A - BULGARI",0,"C ELENA PH",0,"U - RUTENI",0,"UCAR","PDSR-PUR-PSDR",78,NA
"Philippines","Romania",2000-11-26,"Legislative",NA,14,13,1,NA,NA,5,"PDSR-PUR-PSDR",3,"PRM",2,"ApR",1,"CDR 2000",1,"PNL",1,"PUNR - PNR",0,"PNT",0,"PNL - C",0,"PLRSD",0,"PDPRD",0,"P ROMII",0,"PD",0,"F - EVREI",0,"ECOLOGISTII",0,"PSAP",0,"UDMR",0,"CI",0,"PNDC",0,"C ITRO - IS2",0,"PLDMRO",0,"C - ROMII",0,"LAR",0,"PVR",0,"U - TURCA",0,"PREV",0,"PLDR",0,"PRN",0,"UDC",0,"U - UCRAINENI",0,"PSM",0,"U - ARMENI",0,"PN",0,"PSDCTP",0,"UBBR",0,"PP",0,"PSR",0,"C - TURCA",0,"LIR",0,"FDGR",0,"U D - UCRAINENI",0,"ULB",0,"U - CROATI",0,"U - TATARI",0,"L C- ITALIENI",0,"AMSR",0,"U - ELENA",0,"DOM POLSKI",0,"PMR",0,"G2K",0,"C LIPOVENI",0,"PUPPD",0,"A - BULGARI",0,"C ELENA PH",0,"U - RUTENI",0,"UCAR","PDSR-PUR-PSDR",5,NA
"Finland","Romania",2000-11-26,"Legislative",NA,147,145,2,NA,NA,36,"CDR 2000",30,"UDMR",25,"PNL",14,"PDSR-PUR-PSDR",12,"PD",6,"PRM",5,"PNL - C",4,"ECOLOGISTII",2,"FDGR",1,"PNT",1,"PDPRD",1,"P ROMII",1,"PSAP",1,"PNDC",1,"PLDMRO",1,"U - TURCA",1,"PREV",1,"PLDR",1,"PSDCTP",1,"C ELENA PH",0,"ApR",0,"PLRSD",0,"F - EVREI",0,"CI",0,"C ITRO - IS2",0,"PUNR - PNR",0,"C - ROMII",0,"LAR",0,"PVR",0,"PRN",0,"UDC",0,"U - UCRAINENI",0,"PSM",0,"U - ARMENI",0,"PN",0,"UBBR",0,"PP",0,"PSR",0,"C - TURCA",0,"LIR",0,"U D - UCRAINENI",0,"ULB",0,"U - CROATI",0,"U - TATARI",0,"L C- ITALIENI",0,"AMSR",0,"U - ELENA",0,"DOM POLSKI",0,"PMR",0,"G2K",0,"C LIPOVENI",0,"PUPPD",0,"A - BULGARI",0,"U - RUTENI",0,"UCAR","PDSR-PUR-PSDR",14,NA
"France","Romania",2000-11-26,"Legislative",NA,1924,1894,30,NA,NA,736,"CDR 2000",420,"PNL",161,"PDSR-PUR-PSDR",141,"PD",76,"PRM",71,"PNL - C",40,"ECOLOGISTII",39,"ApR",34,"UDMR",17,"PNT",15,"F - EVREI",13,"CI",11,"PSAP",10,"PLDR",9,"PDPRD",9,"PUNR - PNR",8,"PVR",8,"FDGR",7,"U - TURCA",7,"PSDCTP",6,"PSM",5,"UBBR",5,"ULB",4,"PLRSD",4,"PNDC",4,"C ITRO - IS2",4,"PRN",4,"PN",4,"DOM POLSKI",3,"PLDMRO",3,"PP",2,"P ROMII",2,"LAR",2,"UDC",1,"U - UCRAINENI",1,"U - ARMENI",1,"C - TURCA",1,"LIR",1,"U - CROATI",1,"L C- ITALIENI",1,"AMSR",1,"U - ELENA",1,"PMR",1,"PUPPD",0,"C - ROMII",0,"PREV",0,"PSR",0,"U D - UCRAINENI",0,"U - TATARI",0,"G2K",0,"C LIPOVENI",0,"A - BULGARI",0,"C ELENA PH",0,"U - RUTENI",0,"UCAR","PDSR-PUR-PSDR",161,NA
"Georgia","Romania",2000-11-26,"Legislative",NA,15,15,0,NA,NA,5,"PDSR-PUR-PSDR",4,"PRM",3,"PD",2,"ApR",1,"UBBR",0,"CDR 2000",0,"PNT",0,"PNL - C",0,"PNL",0,"PLRSD",0,"PDPRD",0,"P ROMII",0,"F - EVREI",0,"ECOLOGISTII",0,"PSAP",0,"UDMR",0,"CI",0,"PNDC",0,"C ITRO - IS2",0,"PUNR - PNR",0,"PLDMRO",0,"C - ROMII",0,"LAR",0,"PVR",0,"U - TURCA",0,"PREV",0,"PLDR",0,"PRN",0,"UDC",0,"U - UCRAINENI",0,"PSM",0,"U - ARMENI",0,"PN",0,"PSDCTP",0,"PP",0,"PSR",0,"C - TURCA",0,"LIR",0,"FDGR",0,"U D - UCRAINENI",0,"ULB",0,"U - CROATI",0,"U - TATARI",0,"L C- ITALIENI",0,"AMSR",0,"U - ELENA",0,"DOM POLSKI",0,"PMR",0,"G2K",0,"C LIPOVENI",0,"PUPPD",0,"A - BULGARI",0,"C ELENA PH",0,"U - RUTENI",0,"UCAR","PDSR-PUR-PSDR",5,NA
"Germany","Romania",2000-11-26,"Legislative",NA,1709,1664,45,NA,NA,575,"CDR 2000",273,"PNL",181,"PDSR-PUR-PSDR",143,"PRM",100,"PD",95,"UDMR",54,"FDGR",34,"PNL - C",27,"ApR",25,"ECOLOGISTII",16,"PNT",15,"CI",15,"PVR",13,"PUNR - PNR",9,"PLDMRO",9,"PP",7,"PLDR",6,"PDPRD",6,"PSM",5,"AMSR",4,"PNDC",4,"C ITRO - IS2",4,"UDC",4,"U - CROATI",3,"F - EVREI",3,"PSAP",3,"U - TURCA",3,"U - ELENA",2,"PLRSD",2,"P ROMII",2,"LAR",2,"U - ARMENI",2,"PN",2,"PSDCTP",2,"C - TURCA",2,"DOM POLSKI",2,"G2K",1,"PREV",1,"PRN",1,"LIR",1,"U D - UCRAINENI",1,"ULB",1,"PMR",1,"C LIPOVENI",1,"A - BULGARI",1,"C ELENA PH",1,"UCAR",0,"C - ROMII",0,"U - UCRAINENI",0,"UBBR",0,"PSR",0,"U - TATARI",0,"L C- ITALIENI",0,"PUPPD",0,"U - RUTENI","PDSR-PUR-PSDR",181,NA
"Greece","Romania",2000-11-26,"Legislative",NA,1044,1009,35,NA,NA,204,"CDR 2000",204,"PDSR-PUR-PSDR",160,"PNL",103,"PRM",60,"PD",49,"PNL - C",30,"U - ELENA",25,"ECOLOGISTII",22,"PUNR - PNR",19,"ApR",11,"PLRSD",10,"PNT",9,"PLDR",8,"PSAP",8,"CI",8,"PSDCTP",6,"UDMR",6,"PNDC",6,"PSM",6,"C ELENA PH",5,"U D - UCRAINENI",4,"PDPRD",4,"PLDMRO",4,"PMR",3,"UBBR",3,"PP",3,"LIR",3,"U - CROATI",2,"LAR",2,"PVR",2,"U - TURCA",2,"PREV",2,"PRN",2,"PN",2,"PSR",2,"ULB",1,"P ROMII",1,"F - EVREI",1,"U - UCRAINENI",1,"C - TURCA",1,"FDGR",1,"L C- ITALIENI",1,"AMSR",1,"G2K",1,"C LIPOVENI",1,"UCAR",0,"C ITRO - IS2",0,"C - ROMII",0,"UDC",0,"U - ARMENI",0,"U - TATARI",0,"DOM POLSKI",0,"PUPPD",0,"A - BULGARI",0,"U - RUTENI","PDSR-PUR-PSDR",204,NA
"India","Romania",2000-11-26,"Legislative",NA,32,32,0,NA,NA,9,"CDR 2000",9,"PDSR-PUR-PSDR",5,"PD",3,"PRM",3,"PNL",1,"ApR",1,"PSAP",1,"PUNR - PNR",0,"PNT",0,"PNL - C",0,"PLRSD",0,"PDPRD",0,"P ROMII",0,"F - EVREI",0,"ECOLOGISTII",0,"UDMR",0,"CI",0,"PNDC",0,"C ITRO - IS2",0,"PLDMRO",0,"C - ROMII",0,"LAR",0,"PVR",0,"U - TURCA",0,"PREV",0,"PLDR",0,"PRN",0,"UDC",0,"U - UCRAINENI",0,"PSM",0,"U - ARMENI",0,"PN",0,"PSDCTP",0,"UBBR",0,"PP",0,"PSR",0,"C - TURCA",0,"LIR",0,"FDGR",0,"U D - UCRAINENI",0,"ULB",0,"U - CROATI",0,"U - TATARI",0,"L C- ITALIENI",0,"AMSR",0,"U - ELENA",0,"DOM POLSKI",0,"PMR",0,"G2K",0,"C LIPOVENI",0,"PUPPD",0,"A - BULGARI",0,"C ELENA PH",0,"U - RUTENI",0,"UCAR","PDSR-PUR-PSDR",9,NA
"Indonesia","Romania",2000-11-26,"Legislative",NA,22,22,0,NA,NA,7,"PDSR-PUR-PSDR",5,"PRM",5,"PNL",3,"PD",1,"F - EVREI",1,"C ELENA PH",0,"CDR 2000",0,"PNT",0,"PNL - C",0,"ApR",0,"PLRSD",0,"PDPRD",0,"P ROMII",0,"ECOLOGISTII",0,"PSAP",0,"UDMR",0,"CI",0,"PNDC",0,"C ITRO - IS2",0,"PUNR - PNR",0,"PLDMRO",0,"C - ROMII",0,"LAR",0,"PVR",0,"U - TURCA",0,"PREV",0,"PLDR",0,"PRN",0,"UDC",0,"U - UCRAINENI",0,"PSM",0,"U - ARMENI",0,"PN",0,"PSDCTP",0,"UBBR",0,"PP",0,"PSR",0,"C - TURCA",0,"LIR",0,"FDGR",0,"U D - UCRAINENI",0,"ULB",0,"U - CROATI",0,"U - TATARI",0,"L C- ITALIENI",0,"AMSR",0,"U - ELENA",0,"DOM POLSKI",0,"PMR",0,"G2K",0,"C LIPOVENI",0,"PUPPD",0,"A - BULGARI",0,"U - RUTENI",0,"UCAR","PDSR-PUR-PSDR",7,NA
"Jordan","Romania",2000-11-26,"Legislative",NA,226,225,1,NA,NA,59,"PDSR-PUR-PSDR",42,"PRM",24,"PD",14,"PNL",11,"CDR 2000",11,"PNL - C",8,"ECOLOGISTII",5,"ApR",5,"UDMR",5,"PSM",5,"U - TATARI",4,"PNT",4,"PSAP",3,"PUNR - PNR",3,"PSDCTP",3,"U - CROATI",2,"PVR",2,"U - TURCA",2,"PP",1,"PLRSD",1,"PDPRD",1,"CI",1,"PLDMRO",1,"PLDR",1,"PRN",1,"U - UCRAINENI",1,"PN",1,"C - TURCA",1,"FDGR",1,"U D - UCRAINENI",1,"PMR",1,"G2K",0,"P ROMII",0,"F - EVREI",0,"PNDC",0,"C ITRO - IS2",0,"C - ROMII",0,"LAR",0,"PREV",0,"UDC",0,"U - ARMENI",0,"UBBR",0,"PSR",0,"LIR",0,"ULB",0,"L C- ITALIENI",0,"AMSR",0,"U - ELENA",0,"DOM POLSKI",0,"C LIPOVENI",0,"PUPPD",0,"A - BULGARI",0,"C ELENA PH",0,"U - RUTENI",0,"UCAR","PDSR-PUR-PSDR",59,NA
"Iraq","Romania",2000-11-26,"Legislative",NA,30,30,0,NA,NA,6,"PRM",5,"PNL",4,"PDSR-PUR-PSDR",4,"PD",3,"CDR 2000",2,"PNL - C",1,"ApR",1,"UDMR",1,"C ITRO - IS2",1,"PLDMRO",1,"PVR",1,"L C- ITALIENI",0,"PNT",0,"PLRSD",0,"PDPRD",0,"P ROMII",0,"F - EVREI",0,"ECOLOGISTII",0,"PSAP",0,"CI",0,"PNDC",0,"PUNR - PNR",0,"C - ROMII",0,"LAR",0,"U - TURCA",0,"PREV",0,"PLDR",0,"PRN",0,"UDC",0,"U - UCRAINENI",0,"PSM",0,"U - ARMENI",0,"PN",0,"PSDCTP",0,"UBBR",0,"PP",0,"PSR",0,"C - TURCA",0,"LIR",0,"FDGR",0,"U D - UCRAINENI",0,"ULB",0,"U - CROATI",0,"U - TATARI",0,"AMSR",0,"U - ELENA",0,"DOM POLSKI",0,"PMR",0,"G2K",0,"C LIPOVENI",0,"PUPPD",0,"A - BULGARI",0,"C ELENA PH",0,"U - RUTENI",0,"UCAR","PDSR-PUR-PSDR",4,NA
"Iran","Romania",2000-11-26,"Legislative",NA,39,39,0,NA,NA,16,"PDSR-PUR-PSDR",7,"PD",6,"PRM",5,"ApR",2,"PNL",1,"PSAP",1,"UBBR",1,"UCAR",0,"CDR 2000",0,"PNT",0,"PNL - C",0,"PLRSD",0,"PDPRD",0,"P ROMII",0,"F - EVREI",0,"ECOLOGISTII",0,"UDMR",0,"CI",0,"PNDC",0,"C ITRO - IS2",0,"PUNR - PNR",0,"PLDMRO",0,"C - ROMII",0,"LAR",0,"PVR",0,"U - TURCA",0,"PREV",0,"PLDR",0,"PRN",0,"UDC",0,"U - UCRAINENI",0,"PSM",0,"U - ARMENI",0,"PN",0,"PSDCTP",0,"PP",0,"PSR",0,"C - TURCA",0,"LIR",0,"FDGR",0,"U D - UCRAINENI",0,"ULB",0,"U - CROATI",0,"U - TATARI",0,"L C- ITALIENI",0,"AMSR",0,"U - ELENA",0,"DOM POLSKI",0,"PMR",0,"G2K",0,"C LIPOVENI",0,"PUPPD",0,"A - BULGARI",0,"C ELENA PH",0,"U - RUTENI","PDSR-PUR-PSDR",16,NA
"Ireland","Romania",2000-11-26,"Legislative",NA,150,148,2,NA,NA,36,"PNL",34,"CDR 2000",20,"PDSR-PUR-PSDR",14,"PD",12,"PRM",6,"UDMR",4,"ECOLOGISTII",3,"PNT",3,"PRN",2,"PNL - C",2,"ApR",2,"CI",2,"LIR",1,"P ROMII",1,"C ITRO - IS2",1,"PUNR - PNR",1,"PVR",1,"PN",1,"UBBR",1,"U D - UCRAINENI",1,"ULB",0,"PLRSD",0,"PDPRD",0,"F - EVREI",0,"PSAP",0,"PNDC",0,"PLDMRO",0,"C - ROMII",0,"LAR",0,"U - TURCA",0,"PREV",0,"PLDR",0,"UDC",0,"U - UCRAINENI",0,"PSM",0,"U - ARMENI",0,"PSDCTP",0,"PP",0,"PSR",0,"C - TURCA",0,"FDGR",0,"U - CROATI",0,"U - TATARI",0,"L C- ITALIENI",0,"AMSR",0,"U - ELENA",0,"DOM POLSKI",0,"PMR",0,"G2K",0,"C LIPOVENI",0,"PUPPD",0,"A - BULGARI",0,"C ELENA PH",0,"U - RUTENI",0,"UCAR","PDSR-PUR-PSDR",20,NA
"Israel","Romania",2000-11-26,"Legislative",NA,4325,4163,159,NA,NA,685,"F - EVREI",659,"PDSR-PUR-PSDR",631,"PRM",521,"PNL",270,"PD",240,"CDR 2000",183,"PNL - C",86,"ApR",84,"UDMR",65,"ECOLOGISTII",55,"PSM",47,"PLDMRO",44,"U D - UCRAINENI",41,"PSAP",38,"PUNR - PNR",36,"PLRSD",33,"PNT",33,"PLDR",32,"PDPRD",31,"CI",30,"C LIPOVENI",23,"PSDCTP",21,"PNDC",19,"AMSR",18,"PMR",15,"PVR",14,"P ROMII",13,"C ITRO - IS2",13,"C - ROMII",13,"PN",13,"U - CROATI",12,"LAR",12,"UBBR",12,"G2K",11,"PRN",11,"UDC",10,"FDGR",9,"U - ARMENI",8,"U - TURCA",8,"PSR",7,"PREV",7,"U - UCRAINENI",7,"C - TURCA",7,"ULB",6,"PP",6,"LIR",6,"A - BULGARI",4,"UCAR",3,"U - ELENA",3,"PUPPD",3,"C ELENA PH",2,"U - TATARI",1,"L C- ITALIENI",1,"DOM POLSKI",1,"U - RUTENI","PDSR-PUR-PSDR",659,NA
